Country,Timestamp,Device Category,Key Actions,Page Path,Source,Avg Session Duration,Bounce Rate,Conversions,New Users,Page Views,Returning Users,Unique Page Views,Average time on home page (min),Website,Date,Time,Day
canada,2022-12-10 15:06:00,tablet,download,/home,direct,177.0,60.0,2.0,789.0,533.0,131.0,1296.0,3.8,amazon music,2022-12-10,15:06:00,wednesday
canada,2023-10-10 18:36:00,mobile,download,/home,social media,53.0,68.0,13.0,518.0,1065.0,256.0,1199.0,1.07,amazon music,2023-10-10,18:36:00,tuesday
canada,2023-01-06 09:20:00,mobile,sign up,/home,social media,66.0,55.0,33.0,981.0,292.0,111.0,1055.0,4.54,amazon.com,2023-01-06,09:20:00,thursday
canada,2020-06-03 20:45:00,mobile,subscribe,/home,organic search,140.0,26.0,7.0,39.0,141.0,196.0,803.0,1.18,amazon web services (aws),2020-06-03,20:45:00,friday
canada,2022-02-08 20:07:00,mobile,subscribe,/home,referral,72.0,38.0,9.0,110.0,1486.0,329.0,1326.0,3.81,amazon web services (aws),2022-02-08,20:07:00,tuesday
canada,2020-11-05 16:31:00,mobile,subscribe,/home,organic search,160.0,45.0,9.0,781.0,594.0,205.0,217.0,3.12,amazon web services (aws),2020-11-05,16:31:00,monday
india,2021-09-05 00:49:00,desktop,contact form,/home,organic search,94.0,43.0,21.0,60.0,716.0,426.0,249.0,1.3,amazon help,2021-09-05,00:49:00,sunday
india,2021-12-01 00:55:00,tablet,contact form,/home,paid search,134.0,55.0,12.0,515.0,967.0,235.0,1165.0,1.5,aws support,2021-12-01,00:55:00,tuesday
india,2021-10-02 13:44:00,mobile,download,/home,organic search,168.0,35.0,34.0,276.0,560.0,457.0,380.0,4.45,prime video,2021-10-02,13:44:00,wednesday
india,2020-06-01 18:22:00,mobile,download,/home,direct,84.0,41.0,22.0,433.0,574.0,430.0,591.0,3.83,amazon music,2020-06-01,18:22:00,monday
india,2022-03-08 02:17:00,mobile,purchase,/home,paid search,109.0,51.0,26.0,56.0,887.0,189.0,324.0,3.41,amazon.com,2022-03-08,02:17:00,wednesday
india,2022-03-06 06:51:00,desktop,sign up,/home,referral,82.0,42.0,24.0,269.0,975.0,286.0,595.0,3.84,amazon.com,2022-03-06,06:51:00,friday
india,2023-07-06 11:36:00,mobile,subscribe,/home,organic search,100.0,33.0,36.0,99.0,538.0,364.0,1379.0,3.65,audible,2023-07-06,11:36:00,wednesday
uk,2020-08-04 15:16:00,mobile,download,/home,social media,178.0,28.0,2.0,318.0,161.0,467.0,931.0,1.54,amazon music,2020-08-04,15:16:00,wednesday
uk,2020-10-07 14:42:00,mobile,purchase,/home,organic search,138.0,40.0,8.0,392.0,565.0,326.0,1483.0,2.43,amazon.com,2020-10-07,14:42:00,friday
uk,2021-07-07 21:32:00,desktop,purchase,/home,social media,87.0,69.0,32.0,980.0,563.0,307.0,1154.0,5.34,amazon.com,2021-07-07,21:32:00,wednesday
usa,2020-05-07 00:41:00,mobile,contact form,/home,direct,129.0,54.0,26.0,420.0,1447.0,140.0,362.0,4.43,amazon support,2020-05-07,00:41:00,sunday
usa,2023-07-08 09:09:00,mobile,contact form,/home,paid search,79.0,61.0,22.0,670.0,950.0,155.0,1325.0,3.06,aws support,2023-07-08,09:09:00,monday
usa,2022-03-09 08:20:00,desktop,download,/home,direct,59.0,39.0,6.0,451.0,925.0,441.0,177.0,3.85,amazon music,2022-03-09,08:20:00,saturday
usa,2022-05-01 23:22:00,desktop,sign up,/home,direct,44.0,45.0,10.0,682.0,977.0,31.0,808.0,3.95,amazon prime,2022-05-01,23:22:00,wednesday
australia,2022-04-07 03:37:00,desktop,download,/products,social media,69.0,27.0,33.0,322.0,998.0,18.0,1197.0,2.08,amazon music,2022-04-07,03:37:00,monday
australia,2020-03-11 16:42:00,mobile,download,/products,direct,63.0,63.0,9.0,334.0,1722.0,352.0,977.0,2.61,prime video,2020-03-11,16:42:00,tuesday
australia,2022-07-12 03:51:00,mobile,purchase,/products,referral,173.0,65.0,37.0,233.0,1970.0,62.0,800.0,3.83,amazon.com,2022-07-12,03:51:00,wednesday
australia,2020-08-09 11:28:00,desktop,sign up,/products,paid search,130.0,21.0,26.0,657.0,1844.0,357.0,771.0,4.64,amazon music,2020-08-09,11:28:00,tuesday
australia,2022-08-09 14:26:00,desktop,subscribe,/products,social media,40.0,28.0,8.0,613.0,1602.0,344.0,320.0,3.97,amazon web services (aws),2022-08-09,14:26:00,thursday
canada,2022-09-02 03:36:00,desktop,download,/products,social media,110.0,54.0,17.0,773.0,1948.0,38.0,792.0,4.64,prime video,2022-09-02,03:36:00,wednesday
canada,2023-06-09 05:26:00,mobile,purchase,/products,direct,140.0,66.0,33.0,198.0,438.0,73.0,1299.0,0.86,amazon.com,2023-06-09,05:26:00,wednesday
canada,2020-07-05 12:24:00,tablet,sign up,/products,direct,116.0,24.0,23.0,532.0,214.0,156.0,1088.0,5.93,amazon prime,2020-07-05,12:24:00,thursday
india,2020-11-12 05:47:00,desktop,contact form,/products,referral,51.0,21.0,22.0,383.0,1699.0,402.0,1102.0,5.13,aws support,2020-11-12,05:47:00,friday
india,2023-08-01 12:50:00,tablet,download,/products,direct,37.0,27.0,15.0,108.0,539.0,70.0,1314.0,4.47,amazon music,2023-08-01,12:50:00,sunday
india,2023-12-06 19:30:00,mobile,sign up,/products,direct,124.0,42.0,2.0,833.0,334.0,195.0,693.0,1.4,amazon.com,2023-12-06,19:30:00,monday
uk,2020-07-07 08:27:00,desktop,contact form,/products,paid search,45.0,53.0,35.0,532.0,1797.0,424.0,1221.0,4.18,amazon help,2020-07-07,08:27:00,tuesday
uk,2021-06-02 21:05:00,desktop,sign up,/products,direct,160.0,64.0,34.0,785.0,646.0,440.0,949.0,1.87,amazon.com,2021-06-02,21:05:00,saturday
usa,2020-10-08 20:43:00,tablet,download,/products,paid search,116.0,58.0,8.0,562.0,1988.0,302.0,1097.0,2.62,prime video,2020-10-08,20:43:00,monday
usa,2022-07-03 06:04:00,mobile,purchase,/products,direct,45.0,29.0,29.0,722.0,1211.0,395.0,1103.0,2.87,amazon.com,2022-07-03,06:04:00,monday
usa,2022-08-08 13:22:00,mobile,purchase,/products,organic search,68.0,38.0,18.0,827.0,986.0,207.0,595.0,4.02,amazon.com,2022-08-08,13:22:00,monday
usa,2022-09-07 21:04:00,desktop,sign up,/products,direct,127.0,69.0,23.0,178.0,1849.0,432.0,1257.0,0.93,amazon prime,2022-09-07,21:04:00,saturday
australia,2023-11-09 22:26:00,mobile,contact form,/about,social media,118.0,62.0,31.0,156.0,911.0,322.0,969.0,2.32,aws support,2023-11-09,22:26:00,monday
australia,2021-10-08 00:52:00,mobile,download,/about,organic search,81.0,35.0,37.0,778.0,1594.0,185.0,998.0,5.19,prime video,2021-10-08,00:52:00,tuesday
canada,2020-07-12 18:04:00,mobile,download,/about,social media,145.0,40.0,19.0,34.0,173.0,164.0,650.0,4.92,amazon music,2020-07-12,18:04:00,monday
india,2021-01-02 04:25:00,mobile,contact form,/about,paid search,107.0,26.0,32.0,383.0,1691.0,431.0,1316.0,2.25,aws support,2021-01-02,04:25:00,monday
india,2022-06-01 03:54:00,desktop,purchase,/about,referral,124.0,21.0,1.0,559.0,743.0,186.0,170.0,4.87,amazon.com,2022-06-01,03:54:00,thursday
india,2022-08-01 05:40:00,mobile,purchase,/about,organic search,102.0,66.0,18.0,653.0,740.0,387.0,144.0,1.58,amazon.com,2022-08-01,05:40:00,saturday
uk,2021-04-01 22:23:00,mobile,sign up,/about,referral,162.0,29.0,6.0,756.0,407.0,428.0,1441.0,2.1,amazon music,2021-04-01,22:23:00,monday
uk,2022-01-12 07:44:00,mobile,subscribe,/about,direct,168.0,41.0,9.0,106.0,376.0,363.0,1481.0,4.25,amazon web services (aws),2022-01-12,07:44:00,thursday
uk,2023-03-02 16:50:00,mobile,subscribe,/about,organic search,113.0,62.0,43.0,90.0,782.0,471.0,1055.0,1.5,amazon web services (aws),2023-03-02,16:50:00,friday
usa,2023-04-09 11:52:00,desktop,purchase,/about,social media,142.0,49.0,38.0,598.0,663.0,173.0,1211.0,2.03,amazon.com,2023-04-09,11:52:00,monday
usa,2020-10-12 08:39:00,desktop,sign up,/about,social media,57.0,31.0,22.0,119.0,1817.0,169.0,1413.0,5.37,amazon music,2020-10-12,08:39:00,thursday
usa,2022-01-09 21:52:00,mobile,sign up,/about,paid search,148.0,49.0,27.0,639.0,784.0,272.0,1387.0,2.88,amazon music,2022-01-09,21:52:00,thursday
australia,2022-01-09 10:11:00,mobile,contact form,/blog,organic search,159.0,29.0,30.0,128.0,156.0,99.0,55.0,1.22,amazon help,2022-01-09,10:11:00,thursday
australia,2021-07-08 10:14:00,mobile,contact form,/blog,organic search,133.0,61.0,14.0,494.0,874.0,418.0,994.0,4.37,amazon help,2021-07-08,10:14:00,saturday
australia,2022-04-10 15:52:00,mobile,download,/blog,social media,172.0,43.0,39.0,154.0,928.0,455.0,254.0,4.0,prime video,2022-04-10,15:52:00,tuesday
australia,2020-04-09 22:42:00,mobile,purchase,/blog,paid search,76.0,30.0,45.0,313.0,399.0,234.0,1015.0,4.08,amazon.com,2020-04-09,22:42:00,friday
australia,2021-03-08 07:42:00,desktop,purchase,/blog,paid search,80.0,47.0,7.0,409.0,1816.0,250.0,656.0,4.78,amazon.com,2021-03-08,07:42:00,tuesday
australia,2022-03-12 21:48:00,mobile,subscribe,/blog,organic search,75.0,31.0,23.0,790.0,1278.0,281.0,1279.0,5.6,audible,2022-03-12,21:48:00,saturday
australia,2020-02-03 00:07:00,tablet,subscribe,/blog,organic search,172.0,34.0,7.0,895.0,126.0,70.0,373.0,2.06,audible,2020-02-03,00:07:00,monday
australia,2020-01-09 03:12:00,mobile,subscribe,/blog,paid search,104.0,53.0,25.0,760.0,1000.0,282.0,1444.0,4.9,audible,2020-01-09,03:12:00,tuesday
canada,2020-07-12 09:58:00,mobile,download,/blog,referral,86.0,55.0,44.0,128.0,1015.0,48.0,701.0,1.75,prime video,2020-07-12,09:58:00,monday
canada,2021-05-12 14:41:00,mobile,purchase,/blog,social media,126.0,69.0,2.0,846.0,1373.0,212.0,421.0,5.01,amazon.com,2021-05-12,14:41:00,sunday
india,2021-08-12 20:52:00,mobile,contact form,/blog,organic search,52.0,31.0,43.0,736.0,1079.0,470.0,1067.0,2.07,aws support,2021-08-12,20:52:00,wednesday
india,2022-09-07 14:58:00,mobile,purchase,/blog,paid search,74.0,27.0,8.0,733.0,1401.0,97.0,1073.0,3.25,amazon.com,2022-09-07,14:58:00,saturday
india,2023-07-10 06:48:00,desktop,purchase,/blog,referral,176.0,67.0,23.0,841.0,375.0,414.0,587.0,4.59,amazon.com,2023-07-10,06:48:00,saturday
india,2021-04-11 08:30:00,tablet,subscribe,/blog,paid search,63.0,27.0,9.0,368.0,403.0,79.0,728.0,5.91,amazon web services (aws),2021-04-11,08:30:00,thursday
india,2021-04-04 13:49:00,mobile,subscribe,/blog,social media,100.0,46.0,18.0,560.0,1163.0,135.0,284.0,4.46,amazon web services (aws),2021-04-04,13:49:00,sunday
uk,2023-10-06 05:34:00,mobile,download,/blog,paid search,166.0,66.0,22.0,218.0,1208.0,151.0,704.0,1.69,amazon music,2023-10-06,05:34:00,saturday
uk,2022-06-06 17:29:00,desktop,subscribe,/blog,referral,96.0,58.0,38.0,319.0,909.0,154.0,1178.0,4.96,amazon prime,2022-06-06,17:29:00,monday
usa,2021-11-06 17:38:00,mobile,download,/blog,direct,134.0,61.0,31.0,758.0,450.0,439.0,799.0,5.37,amazon music,2021-11-06,17:38:00,friday
usa,2020-03-01 11:44:00,mobile,sign up,/blog,direct,38.0,66.0,47.0,704.0,517.0,174.0,1352.0,5.21,amazon prime,2020-03-01,11:44:00,friday
australia,2022-02-08 09:34:00,mobile,purchase,/contact,organic search,176.0,57.0,15.0,955.0,1145.0,493.0,701.0,1.09,amazon.com,2022-02-08,09:34:00,tuesday
australia,2020-10-08 04:14:00,mobile,sign up,/contact,paid search,43.0,22.0,21.0,433.0,1818.0,260.0,862.0,2.73,amazon.com,2020-10-08,04:14:00,monday
australia,2020-06-03 03:26:00,desktop,sign up,/contact,social media,155.0,39.0,40.0,975.0,1157.0,78.0,1026.0,2.21,amazon music,2020-06-03,03:26:00,friday
australia,2020-01-05 11:18:00,desktop,subscribe,/contact,social media,101.0,38.0,21.0,89.0,165.0,101.0,133.0,5.98,amazon prime,2020-01-05,11:18:00,friday
canada,2023-01-09 22:09:00,mobile,download,/contact,social media,39.0,69.0,16.0,568.0,1964.0,394.0,82.0,2.7,amazon music,2023-01-09,22:09:00,friday
canada,2023-05-06 21:17:00,mobile,purchase,/contact,organic search,173.0,64.0,27.0,111.0,218.0,146.0,1480.0,4.68,amazon.com,2023-05-06,21:17:00,monday
canada,2020-05-03 21:40:00,mobile,sign up,/contact,organic search,102.0,43.0,38.0,929.0,1301.0,291.0,326.0,4.92,amazon.com,2020-05-03,21:40:00,thursday
canada,2020-08-09 12:20:00,mobile,sign up,/contact,direct,30.0,64.0,49.0,996.0,1674.0,297.0,274.0,5.19,amazon music,2020-08-09,12:20:00,tuesday
india,2023-04-09 15:54:00,tablet,contact form,/contact,paid search,75.0,58.0,42.0,326.0,1216.0,351.0,1035.0,1.11,aws support,2023-04-09,15:54:00,monday
india,2020-10-08 02:00:00,tablet,sign up,/contact,paid search,178.0,48.0,41.0,442.0,398.0,492.0,1499.0,3.49,amazon.com,2020-10-08,02:00:00,monday
india,2022-07-10 11:32:00,mobile,sign up,/contact,referral,43.0,56.0,40.0,581.0,964.0,98.0,658.0,3.58,amazon music,2022-07-10,11:32:00,friday
india,2020-07-09 01:04:00,mobile,sign up,/contact,social media,86.0,58.0,46.0,505.0,1872.0,473.0,921.0,3.32,amazon prime,2020-07-09,01:04:00,monday
india,2022-05-12 06:31:00,mobile,subscribe,/contact,paid search,167.0,22.0,43.0,724.0,157.0,229.0,144.0,5.5,amazon web services (aws),2022-05-12,06:31:00,monday
uk,2020-06-06 22:16:00,mobile,contact form,/contact,social media,143.0,34.0,40.0,94.0,1448.0,346.0,926.0,5.54,amazon help,2020-06-06,22:16:00,saturday
uk,2021-03-09 15:06:00,tablet,download,/contact,social media,89.0,26.0,3.0,302.0,939.0,106.0,849.0,4.55,amazon music,2021-03-09,15:06:00,friday
uk,2023-07-03 23:05:00,desktop,download,/contact,direct,132.0,66.0,10.0,158.0,1696.0,284.0,588.0,3.23,amazon music,2023-07-03,23:05:00,tuesday
uk,2021-05-10 02:54:00,mobile,purchase,/contact,referral,87.0,40.0,11.0,603.0,1102.0,147.0,114.0,5.62,amazon.com,2021-05-10,02:54:00,tuesday
uk,2020-08-06 23:54:00,tablet,purchase,/contact,paid search,66.0,43.0,14.0,426.0,1035.0,267.0,232.0,3.75,amazon.com,2020-08-06,23:54:00,monday
uk,2020-01-02 03:20:00,mobile,sign up,/contact,social media,77.0,61.0,3.0,134.0,1575.0,431.0,1496.0,3.85,amazon prime,2020-01-02,03:20:00,saturday
uk,2023-05-06 01:02:00,desktop,sign up,/contact,direct,140.0,64.0,32.0,443.0,769.0,295.0,754.0,4.55,amazon prime,2023-05-06,01:02:00,monday
usa,2021-06-03 00:39:00,desktop,contact form,/contact,social media,30.0,60.0,17.0,341.0,923.0,381.0,976.0,5.87,amazon help,2021-06-03,00:39:00,saturday
usa,2020-04-02 19:57:00,mobile,contact form,/contact,paid search,100.0,65.0,32.0,342.0,1865.0,448.0,163.0,3.01,amazon support,2020-04-02,19:57:00,tuesday
usa,2023-06-10 04:29:00,mobile,contact form,/contact,referral,49.0,67.0,39.0,348.0,1760.0,466.0,1025.0,1.97,aws support,2023-06-10,04:29:00,friday
usa,2022-06-06 01:25:00,mobile,purchase,/contact,direct,120.0,44.0,37.0,870.0,1781.0,217.0,663.0,5.26,amazon.com,2022-06-06,01:25:00,monday
usa,2021-05-05 17:22:00,mobile,sign up,/contact,social media,59.0,34.0,43.0,51.0,653.0,284.0,928.0,3.6,amazon music,2021-05-05,17:22:00,wednesday
usa,2023-12-02 07:55:00,mobile,subscribe,/contact,organic search,121.0,26.0,23.0,243.0,1830.0,421.0,258.0,1.67,amazon prime,2023-12-02,07:55:00,sunday
usa,2020-03-08 01:56:00,mobile,subscribe,/contact,direct,79.0,69.0,44.0,296.0,1379.0,70.0,344.0,5.39,amazon prime,2020-03-08,01:56:00,monday
usa,2020-10-08 17:10:00,mobile,subscribe,/contact,referral,40.0,69.0,48.0,51.0,1154.0,107.0,461.0,1.58,audible,2020-10-08,17:10:00,monday
australia,2022-08-01 11:17:00,desktop,contact form,/home,social media,126.0,49.0,25.0,281.0,1445.0,422.0,447.0,5.0,amazon help,2022-08-01,11:17:00,saturday
australia,2021-09-06 02:07:00,mobile,contact form,/home,organic search,85.0,53.0,45.0,511.0,247.0,343.0,808.0,4.77,amazon support,2021-09-06,02:07:00,wednesday
australia,2021-03-02 02:08:00,mobile,purchase,/home,social media,142.0,65.0,14.0,193.0,499.0,20.0,1324.0,5.95,amazon.com,2021-03-02,02:08:00,wednesday
australia,2020-05-05 12:59:00,mobile,sign up,/home,paid search,172.0,37.0,13.0,17.0,1984.0,104.0,890.0,3.43,amazon.com,2020-05-05,12:59:00,tuesday
canada,2020-12-02 06:14:00,desktop,download,/home,direct,68.0,66.0,38.0,203.0,426.0,360.0,637.0,5.83,prime video,2020-12-02,06:14:00,wednesday
canada,2020-12-05 19:23:00,desktop,sign up,/home,direct,153.0,40.0,43.0,787.0,219.0,394.0,1033.0,4.79,amazon music,2020-12-05,19:23:00,tuesday
india,2020-05-05 03:45:00,mobile,download,/home,social media,106.0,31.0,31.0,666.0,1659.0,457.0,1183.0,2.77,prime video,2020-05-05,03:45:00,tuesday
india,2021-08-07 01:46:00,mobile,download,/home,paid search,172.0,61.0,27.0,620.0,1940.0,427.0,1120.0,2.16,prime video,2021-08-07,01:46:00,thursday
india,2020-08-11 09:16:00,mobile,purchase,/home,social media,52.0,38.0,30.0,557.0,657.0,268.0,97.0,2.84,amazon.com,2020-08-11,09:16:00,sunday
india,2021-05-10 16:15:00,tablet,subscribe,/home,referral,51.0,36.0,44.0,770.0,350.0,202.0,172.0,1.65,amazon prime,2021-05-10,16:15:00,tuesday
india,2022-08-08 08:21:00,mobile,subscribe,/home,organic search,134.0,39.0,49.0,321.0,1850.0,85.0,132.0,4.64,audible,2022-08-08,08:21:00,monday
india,2021-02-04 23:15:00,mobile,subscribe,/home,organic search,84.0,49.0,39.0,789.0,1227.0,444.0,993.0,2.42,audible,2021-02-04,23:15:00,friday
uk,2023-03-02 04:52:00,mobile,contact form,/home,organic search,110.0,32.0,8.0,56.0,575.0,466.0,430.0,3.19,amazon help,2023-03-02,04:52:00,friday
uk,2021-06-01 05:20:00,desktop,contact form,/home,paid search,38.0,47.0,8.0,775.0,1354.0,54.0,1117.0,5.26,aws support,2021-06-01,05:20:00,wednesday
uk,2023-10-08 05:44:00,desktop,download,/home,organic search,101.0,37.0,24.0,759.0,1899.0,153.0,1455.0,5.71,amazon music,2023-10-08,05:44:00,thursday
uk,2022-06-08 08:05:00,mobile,subscribe,/home,organic search,36.0,69.0,17.0,43.0,976.0,35.0,279.0,0.97,audible,2022-06-08,08:05:00,saturday
usa,2021-07-09 14:51:00,mobile,download,/home,organic search,125.0,64.0,26.0,552.0,1681.0,227.0,1114.0,5.21,prime video,2021-07-09,14:51:00,tuesday
usa,2020-07-12 20:59:00,desktop,purchase,/home,referral,129.0,53.0,34.0,397.0,426.0,125.0,206.0,2.63,amazon.com,2020-07-12,20:59:00,monday
usa,2022-08-09 13:48:00,mobile,sign up,/home,paid search,122.0,22.0,4.0,472.0,1564.0,90.0,1115.0,2.65,amazon prime,2022-08-09,13:48:00,thursday
usa,2020-05-09 11:03:00,desktop,sign up,/home,referral,69.0,54.0,21.0,546.0,1474.0,166.0,830.0,4.01,amazon.com,2020-05-09,11:03:00,saturday
usa,2021-11-09 10:54:00,mobile,subscribe,/home,organic search,79.0,44.0,36.0,673.0,451.0,83.0,340.0,2.05,amazon prime,2021-11-09,10:54:00,saturday
australia,2022-05-12 07:42:00,mobile,contact form,/products,organic search,63.0,49.0,14.0,163.0,178.0,146.0,1486.0,4.36,amazon support,2022-05-12,07:42:00,monday
australia,2023-03-06 01:44:00,desktop,purchase,/products,organic search,122.0,36.0,37.0,89.0,609.0,254.0,831.0,2.19,amazon.com,2023-03-06,01:44:00,saturday
australia,2023-03-06 14:07:00,mobile,purchase,/products,social media,173.0,40.0,33.0,606.0,1418.0,452.0,154.0,3.77,amazon.com,2023-03-06,14:07:00,saturday
canada,2021-06-06 12:40:00,mobile,contact form,/products,organic search,95.0,52.0,9.0,678.0,360.0,137.0,1258.0,1.76,amazon help,2021-06-06,12:40:00,sunday
canada,2020-04-12 16:01:00,desktop,contact form,/products,organic search,117.0,58.0,40.0,235.0,1529.0,477.0,1020.0,5.67,aws support,2020-04-12,16:01:00,friday
canada,2020-04-06 17:43:00,tablet,download,/products,direct,39.0,44.0,44.0,377.0,587.0,332.0,1249.0,1.12,prime video,2020-04-06,17:43:00,thursday
india,2023-07-03 19:48:00,mobile,contact form,/products,organic search,134.0,20.0,25.0,17.0,1561.0,272.0,837.0,2.34,amazon support,2023-07-03,19:48:00,tuesday
india,2022-05-03 03:32:00,mobile,contact form,/products,referral,119.0,65.0,16.0,955.0,1856.0,159.0,243.0,0.88,amazon help,2022-05-03,03:32:00,saturday
india,2022-10-02 21:49:00,desktop,purchase,/products,social media,168.0,59.0,35.0,269.0,1524.0,310.0,224.0,2.57,amazon.com,2022-10-02,21:49:00,thursday
india,2020-09-07 01:10:00,mobile,subscribe,/products,organic search,129.0,25.0,30.0,272.0,811.0,222.0,934.0,2.84,amazon prime,2020-09-07,01:10:00,thursday
india,2021-01-04 00:26:00,mobile,subscribe,/products,direct,110.0,52.0,35.0,917.0,741.0,479.0,1255.0,4.51,amazon web services (aws),2021-01-04,00:26:00,thursday
uk,2020-06-04 21:08:00,mobile,download,/products,social media,106.0,64.0,30.0,221.0,585.0,129.0,1212.0,5.57,amazon music,2020-06-04,21:08:00,monday
uk,2022-05-04 23:04:00,mobile,purchase,/products,referral,47.0,30.0,13.0,601.0,1769.0,225.0,286.0,5.86,amazon.com,2022-05-04,23:04:00,tuesday
uk,2023-07-05 13:17:00,mobile,sign up,/products,paid search,72.0,34.0,2.0,135.0,1158.0,184.0,193.0,5.69,amazon prime,2023-07-05,13:17:00,sunday
uk,2023-09-08 16:06:00,mobile,sign up,/products,referral,41.0,54.0,24.0,584.0,1989.0,230.0,936.0,3.02,amazon prime,2023-09-08,16:06:00,wednesday
usa,2022-11-09 12:21:00,desktop,contact form,/products,social media,30.0,59.0,5.0,431.0,1214.0,114.0,1458.0,3.61,aws support,2022-11-09,12:21:00,sunday
usa,2021-09-07 15:23:00,desktop,download,/products,social media,146.0,34.0,22.0,817.0,977.0,201.0,1480.0,3.14,prime video,2021-09-07,15:23:00,friday
usa,2021-08-10 00:39:00,mobile,download,/products,paid search,153.0,51.0,30.0,753.0,1050.0,421.0,82.0,3.07,amazon music,2021-08-10,00:39:00,friday
usa,2021-07-06 16:24:00,desktop,download,/products,paid search,141.0,56.0,36.0,253.0,1286.0,421.0,978.0,1.95,prime video,2021-07-06,16:24:00,monday
usa,2020-04-10 17:23:00,desktop,purchase,/products,organic search,157.0,26.0,3.0,573.0,350.0,16.0,1104.0,5.54,amazon.com,2020-04-10,17:23:00,sunday
usa,2020-08-11 21:33:00,mobile,purchase,/products,organic search,134.0,41.0,45.0,506.0,378.0,147.0,809.0,5.28,amazon.com,2020-08-11,21:33:00,sunday
usa,2021-04-02 11:03:00,mobile,subscribe,/products,organic search,33.0,46.0,36.0,426.0,1771.0,56.0,1422.0,3.86,amazon prime,2021-04-02,11:03:00,thursday
usa,2022-04-08 17:49:00,desktop,subscribe,/products,organic search,45.0,60.0,30.0,745.0,1522.0,335.0,1245.0,4.12,audible,2022-04-08,17:49:00,thursday
australia,2021-04-09 05:04:00,desktop,contact form,/about,paid search,79.0,23.0,40.0,159.0,1582.0,484.0,219.0,5.46,amazon help,2021-04-09,05:04:00,saturday
canada,2020-03-02 10:31:00,mobile,purchase,/about,organic search,159.0,24.0,28.0,323.0,1071.0,97.0,722.0,2.75,amazon.com,2020-03-02,10:31:00,monday
canada,2021-04-10 15:11:00,mobile,subscribe,/about,organic search,38.0,28.0,48.0,957.0,1626.0,461.0,1273.0,4.17,audible,2021-04-10,15:11:00,monday
india,2021-08-08 20:15:00,mobile,contact form,/about,paid search,43.0,20.0,3.0,146.0,412.0,373.0,902.0,5.67,amazon help,2021-08-08,20:15:00,sunday
india,2021-11-07 17:23:00,mobile,sign up,/about,organic search,56.0,32.0,42.0,523.0,1899.0,17.0,1371.0,3.37,amazon prime,2021-11-07,17:23:00,sunday
india,2021-04-09 23:07:00,mobile,sign up,/about,referral,92.0,38.0,26.0,309.0,1192.0,259.0,1277.0,4.65,amazon.com,2021-04-09,23:07:00,saturday
india,2023-02-02 20:08:00,mobile,subscribe,/about,social media,154.0,35.0,12.0,873.0,1754.0,469.0,870.0,5.81,amazon prime,2023-02-02,20:08:00,thursday
uk,2022-07-09 23:21:00,mobile,download,/about,referral,163.0,61.0,38.0,873.0,1410.0,274.0,922.0,1.75,amazon music,2022-07-09,23:21:00,wednesday
uk,2020-07-10 01:37:00,mobile,sign up,/about,organic search,125.0,49.0,5.0,91.0,1066.0,356.0,172.0,1.2,amazon.com,2020-07-10,01:37:00,wednesday
uk,2020-03-01 06:16:00,desktop,subscribe,/about,direct,84.0,20.0,25.0,983.0,1595.0,342.0,1461.0,1.13,audible,2020-03-01,06:16:00,friday
uk,2020-09-09 01:51:00,mobile,subscribe,/about,organic search,52.0,38.0,49.0,889.0,456.0,251.0,807.0,2.72,amazon prime,2020-09-09,01:51:00,wednesday
uk,2021-08-04 00:13:00,desktop,subscribe,/about,referral,148.0,46.0,46.0,389.0,1577.0,109.0,865.0,2.24,audible,2021-08-04,00:13:00,thursday
usa,2021-03-08 09:42:00,desktop,contact form,/about,social media,151.0,47.0,39.0,315.0,1295.0,153.0,1307.0,4.89,amazon help,2021-03-08,09:42:00,tuesday
usa,2021-07-04 05:59:00,mobile,subscribe,/about,organic search,162.0,27.0,48.0,948.0,116.0,195.0,572.0,3.83,amazon prime,2021-07-04,05:59:00,wednesday
usa,2020-03-03 16:41:00,desktop,subscribe,/about,direct,42.0,45.0,43.0,270.0,685.0,9.0,1279.0,2.83,audible,2020-03-03,16:41:00,tuesday
usa,2021-12-02 21:41:00,mobile,subscribe,/about,social media,134.0,57.0,30.0,728.0,404.0,231.0,1471.0,1.79,audible,2021-12-02,21:41:00,friday
australia,2020-06-11 23:36:00,desktop,contact form,/blog,paid search,163.0,61.0,47.0,111.0,1408.0,325.0,626.0,4.4,amazon support,2020-06-11,23:36:00,friday
australia,2020-08-02 05:30:00,tablet,download,/blog,paid search,64.0,62.0,37.0,390.0,1626.0,106.0,693.0,2.54,amazon music,2020-08-02,05:30:00,saturday
australia,2022-01-07 21:58:00,mobile,sign up,/blog,referral,123.0,44.0,21.0,434.0,1141.0,330.0,828.0,3.26,amazon music,2022-01-07,21:58:00,friday
australia,2020-09-07 17:35:00,mobile,subscribe,/blog,social media,89.0,44.0,9.0,966.0,1832.0,249.0,517.0,1.54,amazon web services (aws),2020-09-07,17:35:00,thursday
canada,2021-11-05 13:15:00,mobile,contact form,/blog,direct,144.0,51.0,43.0,740.0,389.0,411.0,492.0,1.94,aws support,2021-11-05,13:15:00,tuesday
canada,2020-11-07 01:08:00,mobile,contact form,/blog,organic search,52.0,68.0,8.0,422.0,1045.0,252.0,401.0,3.61,amazon help,2020-11-07,01:08:00,saturday
